epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.4275,1.49595,3.88385,1.15968,0.52957,0.4502,0.39514,0.25983,1.22702,4.38476,1.0869,7.056e-05,7.056e-05,7.056e-05
2,208.789,1.11365,1.64262,1.00213,0.61298,0.68493,0.72666,0.5359,1.00004,1.69617,0.99593,0.000145545,0.000145545,0.000145545
3,348.097,1.05452,1.20942,0.96093,0.75542,0.86035,0.90037,0.66666,0.96573,1.10571,0.97352,0.000219016,0.000219016,0.000219016
4,493.601,0.9928,0.97012,0.95637,0.90955,0.91429,0.95294,0.70113,0.97236,0.84291,0.97406,0.000290974,0.000290974,0.000290974
5,599.199,0.96275,0.83255,0.93753,0.86579,0.95036,0.93709,0.68809,0.97119,0.79405,0.98004,0.000361418,0.000361418,0.000361418
6,708.867,0.95362,0.76856,0.94071,0.88266,0.9476,0.97002,0.73527,0.9107,0.68226,0.94501,0.000430348,0.000430348,0.000430348
7,821.1,0.90225,0.72691,0.93175,0.87179,0.93057,0.94523,0.68979,1.02624,0.77692,0.98462,0.000497766,0.000497766,0.000497766
8,906.884,0.92436,0.69292,0.942,0.95477,0.96478,0.98332,0.74645,0.95018,0.65817,0.96374,0.000547252,0.000547252,0.000547252
9,1052.86,0.88502,0.64034,0.92311,0.97438,0.96863,0.98524,0.7507,0.92781,0.60401,0.9517,0.00054143,0.00054143,0.00054143
10,1159.17,0.85322,0.59451,0.91355,0.96157,0.96688,0.98753,0.77488,0.86044,0.54799,0.94427,0.000535609,0.000535609,0.000535609
11,1269.56,0.86638,0.58915,0.93149,0.9709,0.96373,0.98395,0.76788,0.87166,0.6138,0.94261,0.000529788,0.000529788,0.000529788
12,1365.79,0.86351,0.59508,0.92168,0.9454,0.97005,0.98581,0.77885,0.8372,0.53526,0.92782,0.000523967,0.000523967,0.000523967
13,1511.72,0.85198,0.55924,0.91469,0.97293,0.98224,0.98672,0.77491,0.8638,0.49356,0.94863,0.000518146,0.000518146,0.000518146
14,1608.24,0.86737,0.55205,0.92294,0.95987,0.96078,0.98746,0.7804,0.8362,0.52222,0.91988,0.000512324,0.000512324,0.000512324
15,1742.91,0.88149,0.55309,0.93085,0.96994,0.98594,0.98841,0.67831,1.15392,0.53956,1.09705,0.000506503,0.000506503,0.000506503
16,1850,0.87533,0.54023,0.91571,0.979,0.98194,0.98704,0.77549,0.86333,0.47416,0.95206,0.000500682,0.000500682,0.000500682
17,1952.71,0.84221,0.54106,0.92372,0.98222,0.97898,0.98595,0.78758,0.80766,0.45724,0.92408,0.000494861,0.000494861,0.000494861
18,2109.32,0.81894,0.50485,0.90555,0.97015,0.98404,0.98676,0.79595,0.79045,0.44603,0.91851,0.00048904,0.00048904,0.00048904
19,2222.88,0.78327,0.49184,0.90722,0.96744,0.98324,0.98702,0.79573,0.78887,0.44046,0.92602,0.000483218,0.000483218,0.000483218
20,2339.94,0.78436,0.4771,0.90203,0.98238,0.98985,0.98787,0.80205,0.79494,0.43795,0.92734,0.000477397,0.000477397,0.000477397
21,2450.27,0.79271,0.47905,0.89299,0.98092,0.99211,0.98846,0.78256,0.82697,0.43372,0.95164,0.000471576,0.000471576,0.000471576
22,2594.84,0.7718,0.46169,0.89668,0.98376,0.99161,0.98689,0.76967,0.87137,0.43732,0.96888,0.000465755,0.000465755,0.000465755
23,2823.61,0.78545,0.47597,0.90785,0.97601,0.98139,0.98593,0.80511,0.76518,0.42372,0.92226,0.000459934,0.000459934,0.000459934
24,2992.56,0.78063,0.47162,0.90644,0.97429,0.98466,0.98642,0.79431,0.79203,0.4243,0.9354,0.000454112,0.000454112,0.000454112
25,3098.92,0.78614,0.45776,0.90596,0.97887,0.99018,0.9862,0.79941,0.79781,0.39986,0.93442,0.000448291,0.000448291,0.000448291
26,3242.14,0.77464,0.45443,0.89719,0.98093,0.99014,0.98512,0.80581,0.7614,0.38774,0.91815,0.00044247,0.00044247,0.00044247
27,3349.48,0.77144,0.44569,0.9044,0.98145,0.99301,0.98633,0.79592,0.81077,0.39778,0.93332,0.000436649,0.000436649,0.000436649
28,3463.87,0.74822,0.43869,0.88503,0.97934,0.98776,0.98534,0.78664,0.81741,0.40911,0.94152,0.000430828,0.000430828,0.000430828
29,3579.62,0.75545,0.43756,0.87478,0.98369,0.99266,0.98723,0.76966,0.88547,0.41013,0.97502,0.000425006,0.000425006,0.000425006
30,3659.17,0.76413,0.43943,0.90094,0.98157,0.99301,0.98577,0.81417,0.74167,0.38074,0.91449,0.000419185,0.000419185,0.000419185
31,3737.58,0.74606,0.42588,0.88569,0.98266,0.99155,0.98493,0.77014,0.87311,0.40137,0.96628,0.000413364,0.000413364,0.000413364
32,3817.2,0.76244,0.4353,0.90156,0.98037,0.99047,0.98813,0.7985,0.78995,0.3839,0.93458,0.000407543,0.000407543,0.000407543
33,3896.05,0.75615,0.42478,0.89243,0.986,0.98777,0.98754,0.79905,0.76895,0.38702,0.92936,0.000401722,0.000401722,0.000401722
34,3975.26,0.76888,0.43848,0.90339,0.97396,0.98833,0.98634,0.79509,0.80157,0.39145,0.94427,0.0003959,0.0003959,0.0003959
35,4054.1,0.73891,0.41891,0.88399,0.96708,0.98792,0.98809,0.80409,0.76513,0.38079,0.92593,0.000390079,0.000390079,0.000390079
36,4134.09,0.74279,0.41785,0.8932,0.9669,0.98945,0.98573,0.80833,0.74428,0.36775,0.91963,0.000384258,0.000384258,0.000384258
37,4213.39,0.71884,0.39601,0.88787,0.97928,0.98877,0.98605,0.78911,0.84234,0.37562,0.95727,0.000378437,0.000378437,0.000378437
38,4292.58,0.73606,0.40063,0.89469,0.98668,0.98754,0.98605,0.81682,0.74655,0.36253,0.91488,0.000372616,0.000372616,0.000372616
39,4371.33,0.71216,0.39523,0.89225,0.98732,0.98828,0.98572,0.82279,0.73083,0.3549,0.9117,0.000366794,0.000366794,0.000366794
40,4450.45,0.71833,0.39982,0.88552,0.97355,0.98996,0.98639,0.8104,0.75243,0.35661,0.92465,0.000360973,0.000360973,0.000360973
41,4529.23,0.70789,0.40551,0.87276,0.98685,0.98908,0.98838,0.81949,0.72951,0.35818,0.91291,0.000355152,0.000355152,0.000355152
42,4607.76,0.70783,0.39201,0.88899,0.97289,0.99301,0.98883,0.81157,0.77813,0.36763,0.93444,0.000349331,0.000349331,0.000349331
43,94.2667,0.73848,0.41564,0.89305,0.79891,0.92226,0.81716,0.64251,0.90623,17.4428,0.99499,0.00034351,0.00034351,0.00034351
44,187.546,0.75466,0.41007,0.90099,0.96961,0.98388,0.98716,0.75772,0.88467,0.43179,0.98912,0.000337688,0.000337688,0.000337688
45,278.254,0.72683,0.40862,0.87502,0.97634,0.98993,0.98581,0.78752,0.79063,0.38078,0.94251,0.000331867,0.000331867,0.000331867
46,370.397,0.70102,0.39382,0.88521,0.97102,0.98676,0.9868,0.80111,0.78001,0.36397,0.93894,0.000326046,0.000326046,0.000326046
47,461.304,0.68733,0.38228,0.87235,0.97758,0.9872,0.98855,0.81711,0.74026,0.35654,0.92583,0.000320225,0.000320225,0.000320225
48,638.634,0.68919,0.3763,0.87482,0.98164,0.9894,0.98858,0.82115,0.73837,0.34969,0.92505,0.000314404,0.000314404,0.000314404
49,751.278,0.68494,0.38936,0.87995,0.98356,0.98955,0.98742,0.81836,0.73984,0.3423,0.92386,0.000308582,0.000308582,0.000308582
50,870.077,0.71459,0.39464,0.88722,0.9795,0.99301,0.98734,0.81066,0.74412,0.3505,0.92389,0.000302761,0.000302761,0.000302761
51,1000.84,0.69452,0.37823,0.87647,0.98563,0.99005,0.98834,0.80718,0.76477,0.35211,0.93571,0.00029694,0.00029694,0.00029694
52,1104.95,0.68189,0.37906,0.87252,0.97764,0.98675,0.98689,0.81705,0.73176,0.35022,0.92033,0.000291119,0.000291119,0.000291119
53,1627.85,0.69756,0.38534,0.88451,0.98374,0.99217,0.98865,0.80741,0.75777,0.34771,0.93167,0.000285298,0.000285298,0.000285298
54,2071.13,0.69268,0.38368,0.88172,0.97979,0.99258,0.98903,0.81501,0.74243,0.33937,0.92284,0.000279476,0.000279476,0.000279476
55,2162.14,0.6924,0.37688,0.87744,0.97893,0.99076,0.98743,0.8007,0.79161,0.35147,0.94005,0.000273655,0.000273655,0.000273655
56,2253.43,0.70215,0.36759,0.88914,0.96815,0.99232,0.98584,0.81711,0.73962,0.34578,0.92266,0.000267834,0.000267834,0.000267834
57,2347.96,0.70045,0.37481,0.88253,0.96873,0.99301,0.9865,0.81485,0.73754,0.32989,0.92233,0.000262013,0.000262013,0.000262013
58,2450.22,0.67774,0.3596,0.86685,0.98311,0.99229,0.98756,0.8081,0.7748,0.33653,0.93762,0.000256192,0.000256192,0.000256192
59,2545.85,0.67851,0.36834,0.88189,0.98279,0.98635,0.98821,0.81929,0.74808,0.3323,0.92388,0.00025037,0.00025037,0.00025037
60,2639.9,0.66966,0.35713,0.8736,0.97855,0.98697,0.98905,0.82113,0.73652,0.32846,0.9199,0.000244549,0.000244549,0.000244549
61,2734.24,0.66082,0.35156,0.87832,0.9826,0.98313,0.99076,0.82156,0.75688,0.33007,0.92605,0.000238728,0.000238728,0.000238728
